	0	1	2	3	4	5	6	7	8	9
jo	0	0	0	0	0	0	0	1	0	0
si	0	0	0	0	0	0	2	0	1	0
fraue	0	0	0	0	0	0	0	0	0	1
ziitalter	1	0	0	0	0	0	0	0	0	0
ineme	0	1	0	0	0	0	0	0	0	0
alter	0	0	0	1	0	0	0	0	0	0
imene	0	0	0	0	1	0	0	0	0	0
beidi	0	0	0	0	0	1	0	0	0	0
glaub	0	0	0	0	0	0	0	0	1	0
ich	0	0	0	0	1	0	0	1	0	1
ersti	1	0	0	0	0	0	0	0	0	0
di	0	1	0	0	0	0	0	0	0	0
nit	0	0	1	0	0	0	0	0	0	0
wär	0	0	0	1	0	0	0	0	0	0
kennelerne	0	0	0	0	0	0	1	0	0	0
vum	0	0	0	0	0	0	0	1	0	0
usgang	0	0	0	0	0	0	0	0	1	0
mögliche	0	0	0	0	0	0	0	0	0	1
luege	1	0	0	0	0	0	0	0	0	0
chani	0	0	1	0	0	0	1	0	0	0
ungerwägs	0	0	0	0	0	1	0	0	0	0
während	0	0	0	0	0	0	0	1	0	0
obwohl	0	0	0	0	0	0	0	0	1	0
-.-	0	0	0	0	0	0	0	0	0	1
gfragt	3	0	0	0	0	0	0	0	0	0
het	0	0	1	0	0	0	0	0	0	0
watter	0	0	0	1	0	0	0	0	0	0
mi	0	0	0	0	1	0	0	0	0	0
Und	0	0	0	0	0	1	0	1	0	0
müettere	0	0	0	0	0	0	0	1	0	0
voraum	0	0	0	0	0	0	0	0	1	0
Lueg	1	0	0	0	0	0	0	0	0	0
schlafe	0	0	1	0	0	0	0	0	0	0
baud	0	0	0	0	1	0	0	0	0	0
sicher	0	0	0	0	0	1	0	0	0	0
auso	0	0	0	0	0	0	0	0	1	0
:)	0	0	0	0	0	0	0	0	1	1
se	0	1	0	0	0	0	0	0	0	0
hani	0	0	1	0	0	0	0	0	0	0
De	0	0	0	1	0	0	0	0	0	0
meinsch	0	0	0	0	0	1	0	0	0	0
Wie	0	0	0	0	0	0	1	0	0	0
hole	0	0	0	0	0	0	0	1	0	0
sorg	0	0	0	1	0	0	0	0	0	0
Sini	0	0	0	0	1	0	0	0	0	0
klar	0	0	0	0	0	1	0	0	0	0
länger	0	0	0	0	0	0	1	0	0	0
scho	0	0	0	0	0	0	0	1	0	0
studiere	0	0	0	0	0	0	0	0	0	1
Oh	0	0	0	0	1	0	0	0	0	0
xD	0	0	0	0	0	1	0	0	0	0
verlüre	0	0	0	0	0	0	0	1	0	0
mannschaft	0	0	0	0	0	0	0	0	0	1
bscheid	1	0	0	0	0	0	0	0	0	0
wieder	0	1	0	0	0	0	0	0	0	0
säg	0	0	0	0	1	0	0	0	0	0
ok	0	0	0	0	0	0	1	0	0	0
seit	1	0	0	0	0	0	0	0	0	0
wo	0	2	0	0	0	0	0	0	0	0
läse	0	0	1	0	0	0	0	0	0	0
nid	0	0	0	1	0	0	0	0	0	0
schiud	0	0	0	0	1	0	0	0	0	0
d'	0	0	0	0	0	1	0	0	0	0
staa	0	0	0	0	0	0	0	1	0	0
woni	0	0	0	0	0	0	0	0	1	0
da	0	0	0	0	0	0	0	0	0	1
paul	0	1	0	0	0	0	0	0	0	0
dr	0	0	2	0	0	0	0	0	0	0
verzeuä	0	0	0	0	0	0	1	0	0	0
weuä	0	0	0	0	0	0	0	1	0	0
öppis	0	0	0	0	0	0	0	0	1	0
grad	0	0	0	0	0	0	0	0	0	1
vorsteuä	1	0	0	0	0	0	0	0	0	0
o	0	1	0	0	0	0	0	0	0	0
chasch	0	0	0	1	0	0	0	0	0	0
Auso	0	0	0	0	1	0	0	0	0	0
Ja	0	0	0	0	0	1	0	0	0	0
gel	0	0	0	0	0	0	1	0	0	0
auto	0	0	0	0	1	0	0	1	0	0
schwarze	0	0	0	0	0	0	0	0	1	0
mau	1	0	0	0	0	0	0	0	0	0
ä	0	1	0	0	0	0	0	0	0	0
Rat	0	0	1	0	0	0	0	0	0	0
Wow	0	0	0	1	0	0	0	0	0	0
choufe	0	0	0	0	0	1	0	0	0	0
wasi	0	0	0	0	0	0	1	0	0	0
für	0	0	0	0	0	0	0	1	0	0
zahle	0	0	0	0	0	0	0	0	1	0
weniger	0	0	0	0	0	0	0	0	0	1
abflug	0	1	0	0	0	0	0	0	0	0
akunft	0	0	0	1	0	0	0	0	0	0
wäg	0	0	0	0	1	0	0	0	0	0
luegä	0	0	0	0	0	1	0	0	0	0
ebä	0	0	0	0	0	0	1	0	0	0
chann	0	0	0	0	0	0	0	0	1	0
denn	0	0	0	0	0	0	0	0	0	1
aa	1	0	0	0	0	0	0	0	0	0
druf	0	1	0	0	0	0	0	0	0	0
halt	0	0	1	0	0	0	0	0	0	0
chunt	0	0	0	1	0	0	0	0	0	0
ohni	0	0	0	0	0	1	0	0	0	0
bin	0	0	0	0	0	0	1	0	0	0
cho	0	0	0	0	0	0	0	0	0	1
frogt	1	0	0	0	0	0	0	0	0	0
dene	0	0	1	0	0	0	0	0	0	0
vo	0	0	0	1	0	0	0	0	0	0
eini	0	0	0	0	1	0	0	0	0	0
emojiQseeNoEvilMonkey	0	0	0	0	0	0	0	1	0	0
zug	0	0	0	0	0	0	0	0	1	0
