	dass	dfcp
erst	9.0	2.0
redactedQ5tokens26characters	9.0	1.0
redactedQ2tokens11characters	9.0	
;-)	9.0	
wele	9.0	
jaa	9.0	
emojiQtwoHearts	9.0	
dra	8.0	
Chasch	8.0	
1	8.0	
ziit	8.0	
iaa	8.0	
emojiQpensiveFace	8.0	1.0
redactedQ5tokens24characters	8.0	
mach	8.0	
gsait	8.0	
gseht	8.0	
xi	8.0	
echt	8.0	
denke	8.0	
wohl	8.0	
Sorry	8.0	
Die	8.0	
redactedQ2tokens20characters	8.0	
eh	8.0	
um	8.0	
gange	8.0	
nüt	8.0	
gschriebe	8.0	1.0
gfunde	8.0	
findet	8.0	
git	8.0	
redactedQ5tokens20characters	8.0	
alli	8.0	
d'	8.0	1.0
is	8.0	
sell	8.0	
glaubt	8.0	
morge	8.0	
super	8.0	
sogar	8.0	1.0
angst	8.0	
gah	7.0	
danke	7.0	
Hahaha	7.0	
nume	7.0	1.0
emojiQcryingFace	7.0	
det	7.0	
redactedQ2tokens13characters	7.0	
zeige	7.0	
redactedQ4tokens20characters	7.0	
redactedQ4tokens16characters	7.0	
redactedQ3tokens15characters	7.0	
gern	7.0	
???	7.0	
musch	7.0	
redactedQ4tokens18characters	7.0	
redactedQ3tokens14characters	7.0	
vlt	7.0	
schribe	7.0	
3	7.0	
:P	7.0	
eine	7.0	
wenns	7.0	
Wie	7.0	1.0
fest	7.0	
Ech	7.0	
wüsse	7.0	
vergässe	7.0	
emojiQrevolvingHearts	7.0	
redactedQ3tokens18characters	7.0	
Da	7.0	
wuche	7.0	
imfall	7.0	
redactedQ3tokens12characters	7.0	
emojiQsmilingCatFaceWithHeartShapedEyes	7.0	
dini	7.0	
richtig	7.0	
lueg	7.0	
hät	7.0	
Hmm	7.0	
redactedQ4tokens19characters	6.0	
xeit	6.0	
auf	6.0	
redactedQ6tokens24characters	6.0	
5	6.0	
Problem	6.0	
noed	6.0	
redactedQ1tokens7characters	6.0	
herzig	6.0	
duuh	6.0	
hans	6.0	
macht	6.0	
troimt	6.0	
überleit	6.0	
ez	6.0	
usegfunde	6.0	1.0
gemerkt	6.0	
wett	6.0	
vergesse	6.0	
woni	6.0	1.0
huere	6.0	1.0
den	6.0	
fertig	6.0	
ebbe	6.0	
redactedQ3tokens17characters	6.0	
merkt	6.0	
ihne	6.0	
ga	6.0	4.0
o	6.0	1.0
hets	6.0	
war	6.0	
dim	6.0	1.0
Ok	6.0	
eltere	6.0	
emojiQwinkingFace	6.0	1.0
normal	6.0	
bini	6.0	
hmm	6.0	
bla	6.0	
mami	6.0	
verstah	6.0	
Glück	6.0	
warum	6.0	
Bi	6.0	
redactedQ5tokens29characters	6.0	
andere	6.0	
chönne	6.0	
esse	6.0	
hahahaha	6.0	
dene	6.0	1.0
redactedQ6tokens33characters	6.0	
redactedQ4tokens17characters	6.0	
komisch	6.0	
worde	6.0	
gloub	5.0	
Aso	5.0	
redactedQ9tokens37characters	5.0	
nit	5.0	1.0
meine	5.0	
johr	5.0	
redactedQ1tokens8characters	5.0	
emojiQrelievedFace	5.0	
Mach	5.0	
uuf	5.0	
typ	5.0	
redactedQ5tokens21characters	5.0	
toll	5.0	
Eif	5.0	
anna	5.0	
schaffe	5.0	
has	5.0	
redactedQ7tokens38characters	5.0	
schatzeli	5.0	
redactedQ2tokens6characters	5.0	
dänn	5.0	
mis	5.0	1.0
hald	5.0	
werde	5.0	
